offset,mean,std,count,car_pct
-10,0.032988191147952484,1.7577984347529505,6043,0.032988191147952484
-9,0.04573081280373446,1.7885184602926052,6043,0.07871900395168693
-8,-0.023345897999110583,1.8193177551037851,6043,0.05537310595257635
-7,-0.013252791332659386,1.7341863752978623,6043,0.042120314619916964
-6,0.01826302379311824,1.8153597768784455,6043,0.060383338413035205
-5,-0.00296529646849902,1.7910095952100107,6043,0.05741804194453619
-4,0.01786584065208753,1.7889810686110745,6044,0.07528388259662372
-3,0.06245753071005946,1.8260290697447783,6044,0.13774141330668319
-2,0.03571790046156381,1.8551473822437436,6044,0.173459313768247
-1,0.15895321806277,4.775104858620558,6044,0.332412531831017
0,0.2714922448793144,6.208357477086819,6044,0.6039047767103314
1,-0.0016781633927863222,2.6507249386318685,6044,0.602226613317545
2,-0.008163277175576035,2.1696626004140445,6044,0.5940633361419689
3,0.03121634528303142,2.0407126327020815,6044,0.6252796814250003
4,0.03022655025524595,2.03726050840949,6044,0.6555062316802462
5,0.0473603108912689,1.8646975017773564,6044,0.7028665425715152
6,0.01706420787897189,1.8695281857702224,6044,0.719930750450487
7,0.04665273530697382,1.872060272565054,6044,0.7665834857574608
8,0.06216301648106802,1.8352530047638085,6044,0.8287465022385289
9,-0.0037814730452369466,1.8142959089092305,6044,0.824965029193292
10,0.022806988563520907,1.851173670981769,6044,0.8477720177568129
11,0.0371514064287681,1.93456829336699,6044,0.884923424185581
12,0.005429667083919983,1.9665036279668873,6044,0.890353091269501
13,0.0007575979034602812,1.86921688077454,6044,0.8911106891729613
14,0.02198961448364488,1.8825969270121468,6044,0.9131003036566062
15,0.018425563062052452,1.7333804440134588,6044,0.9315258667186587
16,0.02133392608326487,1.8326961919367084,6044,0.9528597928019236
17,0.03558403470508931,1.8665612543389472,6044,0.9884438275070129
18,0.05261893649043444,1.7806211970273853,6044,1.0410627639974472
19,0.033422153077382145,1.8128208280819735,6044,1.0744849170748294
20,0.07524088711041481,1.8571971561400837,6044,1.1497258041852443
